"HospitalAdmitRateDateRange","SevDayHospAdmitCount","SevDayHospAdmitRatePer100K","Population"
"2021-11-12  to  2021-11-18",670,8.75000,7656200
"2021-11-13  to  2021-11-19",638,8.33000,7656200
"2021-11-14  to  2021-11-20",607,7.93000,7656200
"2021-11-15  to  2021-11-21",580,7.58000,7656200
"2021-11-16  to  2021-11-22",554,7.24000,7656200
"2021-11-17  to  2021-11-23",551,7.20000,7656200
"2021-11-18  to  2021-11-24",527,6.88000,7656200
"2021-11-19  to  2021-11-25",495,6.47000,7656200
"2021-11-20  to  2021-11-26",499,6.52000,7656200
"2021-11-21  to  2021-11-27",516,6.74000,7656200
"2021-11-22  to  2021-11-28",501,6.54000,7656200
"2021-11-23  to  2021-11-29",522,6.82000,7656200
"2021-11-24  to  2021-11-30",526,6.87000,7656200
"2021-11-25  to  2021-12-01",537,7.01000,7656200
"2021-11-26  to  2021-12-02",558,7.29000,7656200
"2021-11-27  to  2021-12-03",589,7.69000,7656200
"2021-11-28  to  2021-12-04",593,7.75000,7656200
"2021-11-29  to  2021-12-05",613,8.01000,7656200
"2021-11-30  to  2021-12-06",609,7.95000,7656200
"2021-12-01  to  2021-12-07",608,7.94000,7656200
"2021-12-02  to  2021-12-08",610,7.97000,7656200
"2021-12-03  to  2021-12-09",603,7.88000,7656200
"2021-12-04  to  2021-12-10",573,7.48000,7656200
"2021-12-05  to  2021-12-11",569,7.43000,7656200
"2021-12-06  to  2021-12-12",556,7.26000,7656200
"2021-12-07  to  2021-12-13",557,7.28000,7656200
"2021-12-08  to  2021-12-14",561,7.33000,7656200
"2021-12-09  to  2021-12-15",545,7.12000,7656200
"2021-12-10  to  2021-12-16",539,7.04000,7656200
"2021-12-11  to  2021-12-17",538,7.03000,7656200
"2021-12-12  to  2021-12-18",561,7.33000,7656200
"2021-12-13  to  2021-12-19",562,7.34000,7656200
"2021-12-14  to  2021-12-20",556,7.26000,7656200
"2021-12-15  to  2021-12-21",564,7.37000,7656200
"2021-12-16  to  2021-12-22",579,7.56000,7656200
"2021-12-17  to  2021-12-23",632,8.25000,7656200
"2021-12-18  to  2021-12-24",663,8.66000,7656200
"2021-12-19  to  2021-12-25",676,8.83000,7656200
"2021-12-20  to  2021-12-26",732,9.56000,7656200
"2021-12-21  to  2021-12-27",774,10.11000,7656200
"2021-12-22  to  2021-12-28",840,10.97000,7656200
"2021-12-23  to  2021-12-29",910,11.89000,7656200
"2021-12-24  to  2021-12-30",1012,13.22000,7656200
"2021-12-25  to  2021-12-31",1116,14.58000,7656200
"2021-12-26  to  2022-01-01",1224,15.99000,7656200
"2021-12-27  to  2022-01-02",1342,17.53000,7656200
"2021-12-28  to  2022-01-03",1488,19.44000,7656200
